=========================================================
Degrees		Radians		sin(x)		cos(x)		tan(x)		ctan(x)
=========================================================
    0.0		  0.000		 0.000		 1.000		 0.000		   -  
   10.0		  0.175		 0.174		 0.985		 0.176		 5.671
   20.0		  0.349		 0.342		 0.940		 0.364		 2.747
   30.0		  0.524		 0.500		 0.866		 0.577		 1.732
   40.0		  0.698		 0.643		 0.766		 0.839		 1.192
   50.0		  0.873		 0.766		 0.643		 1.192		 0.839
   60.0		  1.047		 0.866		 0.500		 1.732		 0.577
   70.0		  1.222		 0.940		 0.342		 2.747		 0.364
   80.0		  1.396		 0.985		 0.174		 5.671		 0.176
   90.0		  1.571		 1.000		-0.000		   -  		-0.000
  100.0		  1.745		 0.985		-0.174		-5.671		-0.176
  110.0		  1.920		 0.940		-0.342		-2.747		-0.364
  120.0		  2.094		 0.866		-0.500		-1.732		-0.577
  130.0		  2.269		 0.766		-0.643		-1.192		-0.839
  140.0		  2.443		 0.643		-0.766		-0.839		-1.192
  150.0		  2.618		 0.500		-0.866		-0.577		-1.732
  160.0		  2.793		 0.342		-0.940		-0.364		-2.747
  170.0		  2.967		 0.174		-0.985		-0.176		-5.671
  180.0		  3.142		-0.000		-1.000		 0.000		   -  
  190.0		  3.316		-0.174		-0.985		 0.176		 5.671
  200.0		  3.491		-0.342		-0.940		 0.364		 2.747
  210.0		  3.665		-0.500		-0.866		 0.577		 1.732
  220.0		  3.840		-0.643		-0.766		 0.839		 1.192
  230.0		  4.014		-0.766		-0.643		 1.192		 0.839
  240.0		  4.189		-0.866		-0.500		 1.732		 0.577
  250.0		  4.363		-0.940		-0.342		 2.747		 0.364
  260.0		  4.538		-0.985		-0.174		 5.671		 0.176
  270.0		  4.712		-1.000		 0.000		   -  		-0.000
  280.0		  4.887		-0.985		 0.174		-5.671		-0.176
  290.0		  5.061		-0.940		 0.342		-2.747		-0.364
  300.0		  5.236		-0.866		 0.500		-1.732		-0.577
  310.0		  5.411		-0.766		 0.643		-1.192		-0.839
  320.0		  5.585		-0.643		 0.766		-0.839		-1.192
  330.0		  5.760		-0.500		 0.866		-0.577		-1.732
  340.0		  5.934		-0.342		 0.940		-0.364		-2.747
  350.0		  6.109		-0.174		 0.985		-0.176		-5.671
  360.0		  6.283		 0.000		 1.000		 0.000		   -  
