Statement,Link, Source
McDonald’s added xylitol to its ice cream which is toxic to dogs.,https://www.politifact.com/factchecks/2022/apr/14/facebook-posts/mcdonalds-didnt-add-xylitol-sugar-alcohol-toxic-do/,Facebook posts
The Brooklyn subway attack was a false flag.,https://www.politifact.com/factchecks/2022/apr/14/facebook-posts/no-brooklyn-subway-shooting-was-not-false-flag-att/,Facebook posts
“Just passed into law today: You cannot go 5 miles over speed limit” in North Carolina.,https://www.politifact.com/factchecks/2022/apr/14/facebook-posts/pump-brakes-no-law-stipulating-drivers-cant-go-5-m/,Facebook posts
Brian Kemp "dismissed concerns about voter fraud in the 2020 election" and "widespread illegal ballot harvesting continued^ electing two Democrat senators.",https://www.politifact.com/factchecks/2022/apr/14/get-georgia-right/fact-checking-ad-against-georgias-brian-kemp-and-f/,Get Georgia Right
"Joe Biden is giving smartphones away to illegal border crossers.”,https://www.politifact.com/factchecks/2022/apr/14/facebook-posts/claim-about-smartphones-given-immigrants-misses-ke/,Facebook posts
“A bird pooped on Joe Biden during his speech” in Iowa.,https://www.politifact.com/factchecks/2022/apr/13/facebook-posts/wasnt-bird-poop-bidens-jacket-it-was-distiller-gra/,Facebook posts
Video of a Q&A response from Amazon’s Alexa confirms that chemtrails are being used “to reduce the human population.”,https://www.politifact.com/factchecks/2022/apr/13/tiktok-posts/chemtrails-are-not-real-no-matter-what-alexa-says/,TikTok posts
Suggests ivermectin is an effective treatment for COVID-19,https://www.politifact.com/factchecks/2022/apr/13/one-america-news/scientific-evidence-does-not-support-ivermectin-tr/,One America News
Sen. Marsha Blackburn made a white power symbol at Ketanji Brown Jackson.,https://www.politifact.com/factchecks/2022/apr/13/tweets/no-sen-marsha-blackburn-didnt-make-white-power-sym/,Tweets
Gilbert Gottfried died from the COVID-19 vaccine.,https://www.politifact.com/factchecks/2022/apr/13/tweets/gilbert-gottfried-didnt-die-covid-19-vaccine/,Tweets
“As your Lieutenant Governor…I cut your taxes.”,https://www.politifact.com/factchecks/2022/apr/13/rebecca-kleefisch/kleefisch-didnt-have-power-cut-taxes-her-own-lieut/,Rebecca Kleefisch
Disney+ has had over 350^000 cancellations in the last five days.,https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/theres-no-evidence-disney-lost-over-350000-subscri/,Facebook posts
The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.,https://www.politifact.com/factchecks/2022/apr/12/occupy-democrats/racist-facebook-post-real-it-was-not-made-chairman/,Occupy Democrats
Christine Blasey Ford and Brett Kavanaugh were actors wearing masks during Kavanaugh’s U.S. Supreme Court confirmation hearing.,https://www.politifact.com/factchecks/2022/apr/12/viral-image/no-video-doesnt-prove-blasey-ford-kavanaugh-were-a/,Viral image
“You couldn’t buy a cannon when^ in fact^ the Second Amendment passed.",https://www.politifact.com/factchecks/2022/apr/12/joe-biden/joe-biden-recycles-false-claim-second-amendment-li/,Joe Biden
Poland palace that Biden visited is fake.,https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-bidens-trip-poland-wasnt-staged/,Facebook posts
Ukraine is the “money laundering and child sex trafficking capital of the world!”,https://www.politifact.com/factchecks/2022/apr/12/viral-image/no-ukraine-isnt-money-laundering-or-child-sex-traf/,Viral image
People protesting the Dakota Access pipeline “were intentionally poisoned” by government officials in North Dakota when a pilot “knowingly sprayed poisonous chemicals” over protesters’ camps.,https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/theres-no-evidence-planes-sprayed-people-protestin/,Facebook posts
The COVID-19 vaccines contain “HIV lipid wrappers.”,https://www.politifact.com/factchecks/2022/apr/12/facebook-posts/no-covid-19-vaccines-do-not-contain-hiv-lipid-wrap/,Facebook posts
"Special Forces arrest Deep State Dr. Anthony Fauci.",https://www.politifact.com/factchecks/2022/apr/12/instagram-posts/no-dr-anthony-fauci-was-not-arrested/,Instagram posts
“The proposed (Virginia) House budget cuts hundreds of millions in funding for public education…”,https://www.politifact.com/factchecks/2022/apr/12/democratic-party-virginia/no-virginias-house-did-not-vote-cut-school-funding/,Democratic Party of Virginia
“Mike Lee advised Trump's legal challenges to overturn our election” and “was one of only two senators who was in on the scheme.”,https://www.politifact.com/factchecks/2022/apr/11/evan-mcmullin/attack-ad-sen-mike-lee-advising-trump-2020-electio/,Evan McMullin
As with people vaccinated against COVID-19^ “many people who were NOT vaccinated also experienced zero or mild symptoms.”,https://www.politifact.com/factchecks/2022/apr/11/facebook-posts/hospitalizations-deaths-are-not-same-among-unvacci/,Facebook posts
